2019-09-18 12:02:07,451 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('xpath', "//*[contains(@text,'删除')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:08,139 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymdialog_left_button') 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:09,042 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 2 查找频率: 0.2
2019-09-18 12:02:58,687 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="65cdf528-c134-41aa-84a0-97e1ac0a598f")>
2019-09-18 12:02:58,688 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="65cdf528-c134-41aa-84a0-97e1ac0a598f")>
2019-09-18 12:02:58,690 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/img_close') 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:59,724 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/tab_me') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:01,858 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/textView1') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:03,476 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_account_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:04,023 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_account_textview')元素方法
2019-09-18 12:03:04,929 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_account_textview')元素输入13478603122
2019-09-18 12:03:05,593 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_password_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:06,115 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_password_textview')元素方法
2019-09-18 12:03:08,229 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_password_textview')元素输入123456
2019-09-18 12:03:08,803 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_button') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:11,375 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:11,458 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/setting_address_manage') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:13,051 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_new_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:14,391 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 12:03:15,539 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_receipt_name')元素方法
